update,group_count,group_rewards,group_variances,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_variance_group_count,zero_variance_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction
114,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 1.0, 1.0, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 0.2, 0.2]]","[0.0, 0.16, 0.0, 0.0]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
115,4,"[[0.2, 1.0, 1.0, 0.2], [0.2, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.0], [0.0, 0.2, 0.2, 0.0]]","[0.16, 0.007500000000000001, 0.25, 0.010000000000000002]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
116,4,"[[0.2, 0.2, 0.2, 0.2], [0.1, 0.2, 0.0, 0.2], [0.2, 0.2, 0.2, 0.2], [0.0, 0.0, 0.0, 0.0]]","[0.0, 0.006875000000000001, 0.0, 0.0]",1,0.25,3,0.75,1,0.25,3,0.75,3,0.75
117,4,"[[0.2, 0.15, 0.2, 0.2], [1.0, 1.0, 1.0, 0.15], [0.2, 0.15, 0.2, 0.0], [0.2, 0.2, 0.15, 0.2]]","[0.0004687500000000003, 0.13546875, 0.006718750000000001, 0.0004687500000000003]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
118,4,"[[0.1, 1.0, 0.1, 0.2], [1.0, 1.0, 1.0, 0.15], [0.2, 0.0, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.1425, 0.13546875, 0.007500000000000001, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
119,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [0.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.2]]","[0.0, 0.0, 0.1875, 0.007500000000000001]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
120,4,"[[0.1, 0.1, 0.1, 0.1], [0.2, 0.0, 0.2, 0.0], [0.2, 0.2, 0.2, 0.15], [0.2, 1.0, 0.2, 0.2]]","[0.0, 0.010000000000000002, 0.0004687500000000003, 0.12]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
121,4,"[[1.0, 0.1, 0.2, 0.1], [0.2, 0.15, 0.15, 0.0], [0.2, 0.2, 0.2, 1.0], [0.2, 0.2, 0.2, 0.2]]","[0.1425, 0.005625000000000001, 0.12, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
122,4,"[[0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 0.1, 0.2], [0.2, 0.0, 0.2, 0.0], [0.2, 1.0, 0.2, 0.2]]","[0.0, 0.131875, 0.010000000000000002, 0.12]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
123,4,"[[0.2, 0.2, 0.2, 0.2], [0.0, 1.0, 1.0, 0.0], [0.0, 0.2, 0.2, 0.2], [0.0, 0.2, 0.0, 0.2]]","[0.0, 0.25, 0.007500000000000001, 0.010000000000000002]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
124,4,"[[0.2, 0.0, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]]","[0.007500000000000001, 0.0, 0.0, 0.0]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
125,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 1.0, 1.0, 0.15], [0.0, 0.0, 0.0, 0.0], [0.2, 0.2, 0.15, 0.2]]","[0.0, 0.17046875, 0.0, 0.0004687500000000003]",2,0.5,2,0.5,1,0.25,2,0.5,2,0.5
126,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.0, 0.0, 0.0], [0.2, 0.2, 0.2, 1.0], [0.05, 0.1, 0.0, 0.05]]","[0.0, 0.007500000000000001, 0.12, 0.0012500000000000002]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
127,4,"[[0.2, 0.0, 0.2, 0.2], [1.0, 1.0, 0.2, 1.0], [1.0, 1.0, 0.2, 0.2], [1.0, 0.2, 1.0, 0.2]]","[0.007500000000000001, 0.12, 0.16, 0.16]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
128,4,"[[0.0, 0.2, 0.2, 0.2], [0.2, 0.0, 0.0, 0.0], [0.2, 0.2, 0.2, 1.0], [1.0, 1.0, 1.0, 1.0]]","[0.007500000000000001, 0.007500000000000001, 0.12, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
