update,optimizer_step,global_step,microsteps,cumulative_completions,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,canonical_pass_rate,format_accuracy,valid_answer_rate,parseable_rate,loss,total_loss,entropy,entropy_raw_metric_key,grad_norm,grad_norm_available,learning_rate,kl,kl_available,kl_unavailable_reason,ratio_mean,ratio_available,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_reason,clip_fraction,clip_fraction_available,clip_fraction_raw_key,completion_length_mean,eos_rate,truncation_rate,completion_duplicate_rate,unique_completion_rate,zero_advantage_group_count,zero_advantage_fraction
32,32,32,128,512,1204,47474,0.5625,0.4414110895752394,0.19484375,0.5,0.875,0.75,0.75,-0.0598,-0.0598,0.19423721730709076,entropy,0.5628700852394104,True,7.578125e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,75.25,1.0,0.0,0.0,1.0,1,0.25
33,33,33,132,528,1459,48933,0.69375,0.3960251728110222,0.1568359375,0.625,1.0,0.9375,0.9375,-0.0826,-0.0826,0.21279235556721687,entropy,0.3175784647464752,True,7.500000000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,91.1875,1.0,0.0,0.0625,0.9375,2,0.5
34,34,34,136,544,1745,50678,0.43125,0.3868442031360946,0.1496484375,0.3125,0.9375,0.875,0.875,0.0942,0.0942,0.28159303218126297,entropy,0.5353806018829346,True,7.421875000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,109.0625,0.9375,0.0625,0.0,1.0,1,0.25
35,35,35,140,560,1240,51918,0.26875,0.27999720980752646,0.0783984375,0.125,1.0,0.6875,0.6875,-0.0413,-0.0413,0.2878202125430107,entropy,0.313664972782135,True,7.343750000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,77.5,1.0,0.0,0.0,1.0,2,0.5
36,36,36,144,576,1438,53356,0.303125,0.33933240985057705,0.115146484375,0.1875,0.875,0.625,0.5625,0.2173,0.2173,0.23748578131198883,entropy,0.4804995656013489,True,7.265625e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,89.875,0.9375,0.0625,0.0,1.0,0,0.0
37,37,37,148,592,1547,54903,0.44375000000000003,0.37578043788893534,0.1412109375,0.3125,1.0,0.9375,0.9375,0.0006,0.0006,0.28317439928650856,entropy,0.640881359577179,True,7.1875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,96.6875,1.0,0.0,0.0,1.0,1,0.25
38,38,38,152,608,1463,56366,0.4,0.34641016151377546,0.12,0.25,1.0,1.0,1.0,-0.0099,-0.0099,0.392560638487339,entropy,0.26153603196144104,True,7.109375000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,91.4375,1.0,0.0,0.0,1.0,2,0.5
39,39,39,156,624,1297,57663,0.484375,0.4006708242123452,0.160537109375,0.375,0.9375,0.875,0.8125,0.0284,0.0284,0.20470285788178444,entropy,0.3592274785041809,True,7.031250000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,81.0625,1.0,0.0,0.0,1.0,1,0.25
40,40,40,160,640,1851,59514,0.540625,0.40590129265007274,0.164755859375,0.4375,0.9375,0.9375,0.875,-0.0525,-0.0525,0.22288965061306953,entropy,0.47232192754745483,True,6.9531250000000004e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,115.6875,1.0,0.0,0.0,1.0,2,0.5
41,41,41,164,656,1395,60909,0.25625,0.29094404530768453,0.08464843749999999,0.125,0.6875,0.8125,0.6875,-0.0726,-0.0726,0.20794735476374626,entropy,0.5821899175643921,True,6.875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,87.1875,1.0,0.0,0.0,1.0,1,0.25
42,42,42,168,672,1363,62272,0.17500000000000002,0.06614378277661477,0.004375,0.0,0.875,0.875,0.875,-0.0343,-0.0343,0.37579669058322906,entropy,0.2824208736419678,True,6.796875000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,85.1875,1.0,0.0,0.0,1.0,3,0.75
43,43,43,172,688,1713,63985,0.29375,0.3472548595772275,0.1205859375,0.1875,0.8125,0.625,0.625,0.0045,0.0045,0.22791526839137077,entropy,0.3674306571483612,True,6.718750000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,107.0625,0.9375,0.0625,0.0,1.0,1,0.25
44,44,44,176,704,1379,65364,0.346875,0.31398086625620997,0.098583984375,0.1875,0.9375,1.0,0.9375,0.1237,0.1237,0.22049932926893234,entropy,0.6244385242462158,True,6.6406250000000005e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,86.1875,1.0,0.0,0.0,1.0,1,0.25
45,45,45,180,720,1363,66727,0.45625,0.42421803061633295,0.1799609375,0.375,0.9375,0.625,0.625,0.1415,0.1415,0.2069571316242218,entropy,0.4734440743923187,True,6.5625e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,85.1875,0.9375,0.0625,0.0,1.0,1,0.25
46,46,46,184,736,1930,68657,0.584375,0.41822495068443727,0.17491210937499999,0.5,0.875,0.9375,0.875,-0.0137,-0.0137,0.1966773122549057,entropy,0.27152207493782043,True,6.484375000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,120.625,1.0,0.0,0.0,1.0,2,0.5
47,47,47,188,752,1667,70324,0.446875,0.3731072022555984,0.13920898437499998,0.3125,0.9375,1.0,0.9375,-0.0591,-0.0591,0.2583414912223816,entropy,0.4390542805194855,True,6.406250000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,104.1875,1.0,0.0,0.0,1.0,0,0.0
48,48,48,192,768,1569,71893,0.321875,0.328333267237726,0.107802734375,0.1875,0.9375,0.75,0.6875,0.0589,0.0589,0.2339884489774704,entropy,0.5014429092407227,True,6.3281250000000005e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,98.0625,1.0,0.0,0.0,1.0,0,0.0
49,49,49,196,784,1695,73588,0.3875,0.35685256059050496,0.12734375,0.25,0.9375,0.9375,0.9375,-0.0623,-0.0623,0.17989560216665268,entropy,0.22252947092056274,True,6.25e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,105.9375,1.0,0.0,0.0,1.0,2,0.5
50,50,50,200,800,1719,75307,0.4375,0.38222212128551636,0.14609375,0.3125,0.9375,0.9375,0.9375,-0.0346,-0.0346,0.272942952811718,entropy,0.5000235438346863,True,6.171875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,107.4375,1.0,0.0,0.0,1.0,1,0.25
51,51,51,204,816,1629,76936,0.48125,0.40345190233781275,0.1627734375,0.375,1.0,0.8125,0.8125,-0.1099,-0.1099,0.26142818108201027,entropy,0.37876319885253906,True,6.093750000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,101.8125,1.0,0.0,0.0,1.0,0,0.0
52,52,52,208,832,1469,78405,0.434375,0.3843495926562171,0.147724609375,0.3125,0.875,0.9375,0.875,-0.0235,-0.0235,0.18738365173339844,entropy,0.5830751657485962,True,6.0156250000000005e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,91.8125,1.0,0.0,0.0,1.0,1,0.25
53,53,53,212,848,1848,80253,0.1875,0.21686689466121842,0.04703125,0.0625,0.8125,0.5,0.375,-0.0073,-0.0073,0.28960825875401497,entropy,0.36786800622940063,True,5.9375e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,115.5,1.0,0.0,0.0,1.0,1,0.25
54,54,54,216,864,1603,81856,0.64375,0.40422572592550315,0.1633984375,0.5625,0.875,1.0,0.875,-0.1233,-0.1233,0.23979292064905167,entropy,0.46014344692230225,True,5.859375e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,100.1875,1.0,0.0,0.0,1.0,1,0.25
55,55,55,220,880,1451,83307,0.26875,0.28055469609329303,0.0787109375,0.125,0.875,0.75,0.6875,0.0211,0.0211,0.3215271905064583,entropy,0.39438074827194214,True,5.781250000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,90.6875,1.0,0.0,0.0,1.0,1,0.25
