seed,run_id,update,cumulative_generated_tokens,reward_mean,canonical_pass_rate,format_accuracy,parseable_rate,policy_loss,value_loss,total_loss,entropy,kl,truncation_rate
42,ppo_formal_1p5b_seed42_20260719T131800Z,32,51369.0,0.146875,0.0625,0.5,0.375,0.011714175343513489,4.312029838562012,0.4429171591997147,1.775935173034668,0.00041147490264847875,0.0625
123,ppo_formal_1p5b_seed123_20260720T043732Z,1,1567.0,0.08750000000000001,0.0,0.375,0.3125,0.004180473741143942,3.341883420944214,0.33836881583556533,1.6049563884735107,0.000403887708671391,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,2,3497.0,0.121875,0.0625,0.3125,0.3125,0.0012461442966014147,3.159575939178467,0.31720373821444814,1.2331876754760742,0.0006614023586735129,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,3,5003.0,0.29375,0.1875,0.625,0.625,-0.0001645099837332964,3.6972849369049072,0.36956398370675747,1.07209312915802,0.0004983206745237112,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,4,6651.0,0.503125,0.4375,0.75,0.75,0.0064951032400131226,3.2508745193481445,0.3315825551748276,0.9594550132751465,0.0008627579663880169,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,5,8398.0,0.21875,0.125,0.625,0.5625,0.003774152137339115,3.903998613357544,0.39417401347309355,1.1706105470657349,0.0005874806083738804,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,6,9692.0,0.021875,0.0,0.0625,0.0625,0.010650290176272392,3.8101541996002197,0.39166571013629436,0.8845022916793823,0.0005436475621536374,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,7,11811.0,0.090625,0.0625,0.1875,0.125,0.0027790472377091646,2.718686103820801,0.27464765761978926,0.9320453405380249,0.0005844047991558909,0.125
123,ppo_formal_1p5b_seed123_20260720T043732Z,8,14406.0,0.225,0.125,0.6875,0.5625,0.005233315285295248,3.3704099655151367,0.34227431183680895,1.0158368349075317,0.0006260959198698401,0.25
123,ppo_formal_1p5b_seed123_20260720T043732Z,9,15569.0,0.09062500000000001,0.0,0.5625,0.3125,0.007949051447212696,3.2606568336486816,0.3340147348120809,1.0939548015594482,0.0006078428123146296,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,10,16708.0,0.475,0.4375,0.625,0.625,0.007797653321176767,3.356935501098633,0.34349120343104006,1.4868366718292236,0.0007119069341570139,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,11,18543.0,0.09375,0.0,0.3125,0.25,0.006862225942313671,3.29699444770813,0.3365616707131267,0.6914575099945068,0.0009340315591543913,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,12,19571.0,0.16875,0.125,0.25,0.25,0.0077261896803975105,4.002422332763672,0.4079684229567647,0.9899740219116211,0.0009167782845906913,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,13,21365.0,0.19375,0.125,0.375,0.375,0.010146450251340866,3.1219804286956787,0.32234449312090874,1.5916228294372559,0.00060460768872872,0.125
123,ppo_formal_1p5b_seed123_20260720T043732Z,14,22914.0,0.140625,0.0625,0.4375,0.375,0.005975201725959778,2.89782977104187,0.2957581788301468,1.2889341115951538,0.0003595236630644649,0.125
123,ppo_formal_1p5b_seed123_20260720T043732Z,15,24803.0,0.07500000000000001,0.0,0.375,0.375,0.006066830363124609,3.0961689949035645,0.3156837298534811,1.4596455097198486,0.0004519091744441539,0.125
